job_id,label,S1_Act,S1_Time,S1_Lat,S1_Lon,S1_Val,S2_Act,S2_Time,S2_Lat,S2_Lon,S2_Val,S3_Act,S3_Time,S3_Lat,S3_Lon,S3_Val,S4_Act,S4_Time,S4_Lat,S4_Lon,S4_Val,S5_Act,S5_Time,S5_Lat,S5_Lon,S5_Val,S6_Act,S6_Time,S6_Lat,S6_Lon,S6_Val,S7_Act,S7_Time,S7_Lat,S7_Lon,S7_Val,S8_Act,S8_Time,S8_Lat,S8_Lon,S8_Val,S9_Act,S9_Time,S9_Lat,S9_Lon,S9_Val,S10_Act,S10_Time,S10_Lat,S10_Lon,S10_Val
job-6f2f791c,1,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9627707550693176,0.7623043362388997,0.0,3.0,0.8492162786483456,0.9627707550693176,0.7623043362388997,0.024333865944182104,3.0,0.6529011647205097,0.9627707550693176,0.7623043362388997,0.022227966001682694,3.0,0.6600183598877682,0.9627707550693176,0.7623043362388997,0.02345346654738418,3.0,0.686925265043148,0.9627707550693176,0.7623043362388997,0.019740277193281513,3.0,0.6931024806777866,0.9627707550693176,0.7623043362388997,0.03184628461369789,3.0,0.7100259582317043,0.9627707550693176,0.7623043362388997,0.023857160017287538,4.0,0.2383074500139558,0.9627707550693176,0.7623043362388997,0.504700557103064,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-57541b4f,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9918710575877061,0.0021835043355201145,0.0,3.0,0.7008030214256757,0.9918710575877061,0.0021835043355201145,0.031950461360813726,3.0,0.7026040266100341,0.9918710575877061,0.0021835043355201145,0.02689229506165669,4.0,0.2383074500139558,0.9918710575877061,0.0021835043355201145,0.31277855153203343,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-4b112305,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9390728009979683,0.7814125181008602,0.0,3.0,0.4617416155646415,0.9390728009979683,0.7814125181008602,0.026985301644183283,3.0,0.33058459611916835,0.9390728009979683,0.7814125181008602,0.01843626587487421,3.0,0.5939152721373142,0.9390728009979683,0.7814125181008602,0.02916737074181669,4.0,0.2383074500139558,0.9390728009979683,0.7814125181008602,0.0911908077994429,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-514537fa,1,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9714587782287429,0.7650875817277177,0.0,3.0,0.8560911004614234,0.9714587782287429,0.7650875817277177,0.02740720097753566,3.0,0.7251081155756991,0.9714587782287429,0.7650875817277177,0.02279873653527282,3.0,0.6544473372375531,0.9714587782287429,0.7650875817277177,0.019240275775990648,3.0,0.646871029692122,0.9714587782287429,0.7650875817277177,0.020771350598060172,3.0,0.6945465563160038,0.9714587782287429,0.7650875817277177,0.03109833119327595,4.0,0.2383074500139558,0.9714587782287429,0.7650875817277177,0.5160863509749304,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-a7c7e349,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9353294810236943,0.7802133294890875,0.0,3.0,0.3982157506457693,0.9353294810236943,0.7802133294890875,0.019546167988468695,4.0,0.2383074500139558,0.9353294810236943,0.7802133294890875,0.05003481894150418,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-c5560774,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9337801022953365,0.7797169793669663,0.0,3.0,0.8438096051543951,0.9337801022953365,0.7797169793669663,0.028488955578890925,3.0,0.41816308539729125,0.9337801022953365,0.7797169793669663,0.03045173123211944,3.0,0.7416462069620241,0.9337801022953365,0.7797169793669663,0.018913110689119716,4.0,0.2383074500139558,0.9337801022953365,0.7797169793669663,0.03976323119777159,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-99f3d79c,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.005624685018414621,0.5357782560764199,0.0,3.0,0.5890525198200721,0.005624685018414621,0.5357782560764199,0.029242480178256584,3.0,0.23477039727815815,0.005624685018414621,0.5357782560764199,0.01963152848294178,3.0,0.33158841957254526,0.005624685018414621,0.5357782560764199,0.020113083204081658,4.0,0.2383074500139558,0.005624685018414621,0.5357782560764199,0.15522284122562674,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-887ca730,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.3798822030931853,0.9954904606624084,0.0,3.0,0.6757801634273697,0.3798822030931853,0.9954904606624084,0.02855556183814568,3.0,0.34415730743970185,0.3798822030931853,0.9954904606624084,0.02855620931362281,3.0,0.4284594974377966,0.3798822030931853,0.9954904606624084,0.02583402509901277,4.0,0.2383074500139558,0.3798822030931853,0.9954904606624084,0.3012534818941504,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-efad0afe,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9331839613382611,0.7795260030540545,0.0,3.0,0.47543327291091625,0.9331839613382611,0.7795260030540545,0.020084114026259325,3.0,0.29503688996061134,0.9331839613382611,0.7795260030540545,0.024324461053852543,4.0,0.2383074500139558,0.9331839613382611,0.7795260030540545,0.06159470752089137,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-8ca2e422,0,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.013853100508749272,0.5384142642768295,0.0,3.0,0.4737877502187044,0.013853100508749272,0.5384142642768295,0.027657053153217162,3.0,0.3392279649661686,0.013853100508749272,0.5384142642768295,0.025120329783294558,3.0,0.21553797411356793,0.013853100508749272,0.5384142642768295,0.01809138456903713,4.0,0.2383074500139558,0.013853100508749272,0.5384142642768295,0.0019150417827298052,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
job-14cc840d,1,1.0,0.0,0.38640671104196916,0.17231026417104375,0.0,2.0,0.10715739631670437,0.9727995836700043,0.7655171145025843,0.0,3.0,0.7802481532503509,0.9727995836700043,0.7655171145025843,0.027403255787429606,3.0,0.7366327689226623,0.9727995836700043,0.7655171145025843,0.02070875339973046,3.0,0.7114290946524203,0.9727995836700043,0.7655171145025843,0.023336280345225377,3.0,0.7444682867560778,0.9727995836700043,0.7655171145025843,0.03165438249838934,4.0,0.2383074500139558,0.9727995836700043,0.7655171145025843,0.5253133704735377,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0,0.0,0.0,0.38640671104196916,0.17231026417104375,0.0
